Date,AAPL,AMD,AMZN,GOOGL,JPM,META,MSFT,NVDA,ORCL,TSLA
2021-01-14,125.48771667480469,90.79000091552734,156.37350463867188,85.95317077636719,124.87882232666016,244.13494873046875,204.4011993408203,13.163963317871094,57.6769905090332,281.6666564941406
2021-01-15,123.76473236083984,88.20999908447266,155.21249389648438,85.78929901123047,122.64080047607422,249.8199462890625,204.046142578125,12.824152946472168,57.84553909301758,275.38665771484375
2021-01-19,124.4364013671875,89.44999694824219,156.03799438476562,88.61233520507812,122.11001586914062,259.5002746582031,207.6828155517578,12.989447593688965,57.38673400878906,281.51666259765625
2021-01-20,128.52490234375,88.75,163.16900634765625,93.35958862304688,120.27890014648438,265.8411865234375,215.2631378173828,13.329010009765625,57.63954544067383,283.48333740234375
2021-01-21,133.23643493652344,91.52999877929688,165.34950256347656,93.56219482421875,119.27047729492188,271.1981506347656,215.86766052246094,13.829380989074707,57.31182861328125,281.663330078125
2021-01-22,135.37802124023438,92.79000091552734,164.6114959716797,93.97981262207031,118.3504867553711,272.8181457519531,216.80799865722656,13.67480754852295,56.515960693359375,282.21331787109375
2021-01-25,139.12576293945312,94.12999725341797,164.6999969482422,94.06522369384766,116.87319946289062,276.306640625,220.24313354492188,13.615718841552734,57.021583557128906,293.6000061035156
2021-01-26,139.35943603515625,94.70999908447266,166.30650329589844,94.7440414428711,116.39555358886719,280.3218994140625,222.92990112304688,13.398320198059082,57.8642578125,294.36334228515625
2021-01-27,138.28860473632812,88.83999633789062,161.62899780273438,90.32402801513672,113.1048355102539,270.4726257324219,223.47679138183594,12.882242202758789,58.566497802734375,288.0533447265625
2021-01-28,133.45054626464844,87.5199966430664,161.88099670410156,92.02529907226562,115.09516906738281,263.3763732910156,229.26284790039062,13.01512622833252,57.321197509765625,278.4766540527344
2021-01-29,128.4567413330078,85.63999938964844,160.30999755859375,90.74214172363281,113.82134246826172,256.7472229003906,222.57485961914062,12.954045295715332,56.581504821777344,264.510009765625
2021-02-01,130.57888793945312,87.66000366210938,167.1439971923828,94.00514221191406,114.66170501708984,260.4046325683594,229.95367431640625,13.200615882873535,57.59272384643555,279.9366760253906
